"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Autism Detection of MRI Brain Images Using Hybrid Deep CNN With DM-Resnet Classifier","S. Jain; H. K. Tripathy; S. Mallik; H. Qin; Y. Shaalan; K. Shaalan","School of Computer Engineering, Kalinga Institute of Industrial Technology (Deemed to be University), Bhubaneswar, Odisha, India; School of Computer Engineering, Kalinga Institute of Industrial Technology (Deemed to be University), Bhubaneswar, Odisha, India; Department of Environmental Health, Harvard T. H. Chan School of Public Health, Boston, MA, USA; Department of Computer Science and Engineering, The University of Tennessee at Chattanooga, Chattanooga, TN, USA; Faculty of Medicine, Misr University for Science and Technology, 6th of October City, Egypt; Faculty of Engineering and IT, Dubai International Academic Cit, The British University in Dubai, Dubai, United Arab Emirates",IEEE Access,"30 Oct 2023","2023","11","","117741","117751","The neurodevelopmental Autism Spectrum Disorder (ASD) causes problems in social communication. Earlier diagnosis of ASD from brain image is necessary for reducing the effect of disorder. In this paper, deep Convolutional Neural Network (CNN) with Dwarf Mongoose optimized Residual Network (DM-ResNet) is proposed for the classification of autism disorder from Magnetic Resonance Imaging (MRI) brain images. Initially, the input brain images are preprocessed to remove the non-brain tissues. The preprocessed images are segmented with hybrid Fuzzy C Means (FCM) and Gaussian Mixture Model (GMM) which partition the image into sub groups to make it easier for classification by reducing the complexity. FCM-GMM segments the volume into predefined cortical and sub cortical regions. After segmentation, the features are extracted with Visual Geometry Group (VGG)-16 networks which comprised of several tiny kernels with filters for enhancing the depth of network and permit to extract complicated and discriminative features. Region of Interest (ROI) based functional connectivity feature is extracted with VGG-16 and these features are classified with DM optimized ResNet. The hyper parameters are optimized with DM optimization algorithm which improves the accuracy of classifier. By using the proposed approach, the accuracy of autism detection is improved to 99.83%.","2169-3536","","10.1109/ACCESS.2023.3325701","USA NSF(grant numbers:1761839,2200138); Catalyst Award from the USA National Academy of Medicine; AI Tennessee Initiative; University of Tennessee at Chattanooga; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10287306","Autism detection;MRI images;segmentation;VGG feature extraction;ResNet;dwarf mongoose optimization","Feature extraction;Magnetic resonance imaging;Image segmentation;Autism;Signal processing algorithms;Deep learning;Classification algorithms","","61","","37","CCBYNCND","18 Oct 2023","2023","","IEEE","IEEE Journals"
"Characterizing Autism Spectrum Disorder Through Fusion of Local Cortical Activation and Global Functional Connectivity Using Game-Based Stimuli and a Mobile EEG System","Y. -L. Tseng; C. -H. Lee; Y. -N. Chiu; W. -C. Tsai; J. -S. Wang; W. -C. Wu; Y. -L. Chien","Department of Electrical Engineering, National Sun Yat-sen University, Kaohsiung, Taiwan; Department of Electrical Engineering, National Sun Yat-sen University, Kaohsiung, Taiwan; Department of Psychiatry, National Taiwan University Hospital, Taipei, Taiwan; Department of Psychiatry, National Taiwan University Hospital, Taipei, Taiwan; Department of Electrical Engineering, National Sun Yat-sen University, Kaohsiung, Taiwan; Department of Electrical Engineering, National Sun Yat-sen University, Kaohsiung, Taiwan; Department of Psychiatry, National Taiwan University Hospital, Taipei, Taiwan",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"26 Aug 2024","2024","32","","3026","3035","The deficit in social interaction skills among individuals with autism spectrum disorder (ASD) is strongly influenced by personal experiences and social environments. Neuroimaging studies have previously highlighted the link between social impairment and brain activity in ASD. This study aims to develop a method for assessing and identifying ASD using a social cognitive game-based paradigm combined with electroencephalo-graphy (EEG) signaling features. Typically developing (TD) participants and autistic preadolescents and teenagers were recruited to participate in a social game while 12-channel EEG signals were recorded. The EEG signals underwent preprocessing to analyze local brain activities, including event-related potentials (ERPs) and time-frequency features. Additionally, the global brain network’s functional connectivity between brain regions was evaluated using phase-lag indices (PLIs). Subsequently, machine learning models were employed to assess the neurophysiological features. Results indicated pronounced ERP components, particularly the late positive potential (LPP), in parietal regions during social training. Autistic preadolescents and teenagers exhibited lower LPP amplitudes and larger P200 amplitudes compared to TD participants. Reduced theta synchronization was also observed in the ASD group. Aberrant functional connectivity within certain time intervals was noted in the ASD group. Machine learning analysis revealed that support-vector machines achieved a sensitivity of 100%, specificity of 91.7%, and accuracy of 95.8% as part of the performance evaluation when utilizing ERP and brain oscillation features for ASD characterization. These findings suggest that social interaction difficulties in autism are linked to specific brain activation patterns. Traditional behavioral assessments face challenges of subjectivity and accuracy, indicating the potential use of social training interfaces and EEG features for cognitive assessment in ASD.","1558-0210","","10.1109/TNSRE.2024.3417210","Taiwan National Science and Technology Council(grant numbers:112-2222-E-110-021); National Health Research Institutes(grant numbers:NHRI-EX113-11008PC); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10639538","Electroencephalography;autism spectrum disorder;brain oscillations;functional connectivity;support-vector machine","Electroencephalography;Games;Face recognition;Oscillators;Task analysis;Synchronization;Autism","Humans;Autism Spectrum Disorder;Adolescent;Electroencephalography;Child;Male;Female;Evoked Potentials;Machine Learning;Cerebral Cortex;Video Games;Algorithms;Smartphone;Social Interaction","7","","94","CCBYNCND","20 Aug 2024","2024","","IEEE","IEEE Journals"
"Regional-Asymmetric Adaptive Graph Convolutional Neural Network for Diagnosis of Autism in Children With Resting-State EEG","W. Hu; G. Jiang; J. Han; X. Li; P. Xie","School of Electrical Engineering, Yanshan University, Qinhuangdao, China; School of Electrical Engineering, Yanshan University, Qinhuangdao, China; Beijing Key Laboratory of Learning and Cognition, School of Psychology, Capital Normal University, Beijing, China; State Key Laboratory of Cognitive Neuroscience and Learning, Beijing Normal University, Beijing, China; School of Electrical Engineering, Yanshan University, Qinhuangdao, China",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"15 Jan 2024","2024","32","","200","211","Currently, resting-state electroencephalography (rs-EEG) has become an effective and low-cost evaluation way to identify autism spectrum disorders (ASD) in children. However, it is of great challenge to extract useful features from raw rs-EEG data to improve diagnosis performance. Traditional methods mainly rely on the design of manual feature extractors and classifiers, which are separately performed and cannot be optimized simultaneously. To this end, this paper proposes a new end-to-end diagnostic method based on a recently emerged graph convolutional neural network for the diagnosis of ASD in children. Inspired by related neuroscience findings on the abnormal brain functional connectivity and hemispheric asymmetry characteristics observed in autism patients, we design a new Regional-asymmetric Adaptive Graph Convolutional Neural Network (RAGNN). It utilizes a hierarchical feature extraction and fusion process to learn separable spatiotemporal EEG features from different brain regions, two hemispheres, and a global brain. In the temporal feature extraction section, we utilize a convolutional layer that spans from the brain area to the hemisphere. This allows for effectively capturing temporal features both within and between brain areas. To better capture spatial characteristics of multi-channel EEG signals, we employ adaptive graph convolutional learning to capture non-Euclidean features within the brain’s hemispheres. Additionally, an attention layer is introduced to highlight different contributions of the left and right hemispheres, and the fused features are used for classification. We conducted a subject-independent cross-validation experiment on rs-EEG data from 45 children with ASD and 45 typically developing (TD) children. Experimental results have shown that our proposed RAGNN model outperformed several existing deep learning-based methods (ShaollowNet, EEGNet, TSception, ST-GCN, and CGRU-MDGN).","1558-0210","","10.1109/TNSRE.2023.3347134","National Natural Science Foundation of China(grant numbers:62003228,61761166003); National Key Research and Development Program of China(grant numbers:2017YFC0820205); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10373946","Autism spectrum disorders (ASD);resting-state electroencephalography (EEG);graph convolutional network;deep learning;computer-aided diagnosis","Feature extraction;Autism;Electroencephalography;Brain modeling;Convolution;Convolutional neural networks;Data models","Child;Humans;Autistic Disorder;Autism Spectrum Disorder;Brain;Electroencephalography;Neural Networks, Computer","16","","54","CCBY","25 Dec 2023","2024","","IEEE","IEEE Journals"
"A Multimodal Approach for Identifying Autism Spectrum Disorders in Children","J. Han; G. Jiang; G. Ouyang; X. Li","Beijing Key Laboratory of Learning and Cognition, School of Psychology, Capital Normal University, Beijing, China; School of Electrical Engineering, Yanshan University, Qinhuangdao, China; State Key Laboratory of Cognitive Neuroscience and Learning, Beijing Normal University, Beijing, China; State Key Laboratory of Cognitive Neuroscience and Learning, Beijing Normal University, Beijing, China",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"22 Jul 2022","2022","30","","2003","2011","Identification of autism spectrum disorder (ASD) in children is challenging due to the complexity and heterogeneity of ASD. Currently, most existing methods mainly rely on a single modality with limited information and often cannot achieve satisfactory performance. To address this issue, this paper investigates from internal neurophysiological and external behavior perspectives simultaneously and proposes a new multimodal diagnosis framework for identifying ASD in children with fusion of electroencephalogram (EEG) and eye-tracking (ET) data. Specifically, we designed a two-step multimodal feature learning and fusion model based on a typical deep learning algorithm, stacked denoising autoencoder (SDAE). In the first step, two SDAE models are designed for feature learning for EEG and ET modality, respectively. Then, a third SDAE model in the second step is designed to perform multimodal fusion with learned EEG and ET features in a concatenated way. Our designed multimodal identification model can automatically capture correlations and complementarity from behavior modality and neurophysiological modality in a latent feature space, and generate informative feature representations with better discriminability and generalization for enhanced identification performance. We collected a multimodal dataset containing 40 ASD children and 50 typically developing (TD) children to evaluate our proposed method. Experimental results showed that our proposed method achieved superior performance compared with two unimodal methods and a simple feature-level fusion method, which has promising potential to provide an objective and accurate diagnosis to assist clinicians.","1558-0210","","10.1109/TNSRE.2022.3192431","National Natural Science Foundation of China(grant numbers:62003228,61761166003); Science and Technology Development Project of Beijing Municipal Education Commission of China(grant numbers:KM202010028019); National Key Research and Development Program of China(grant numbers:2017YFC0820205); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9832930","Autism spectrum disorders (ASD);multimodal fusion;electroencephalogram (EEG);eye-tracking (ET);stacked denoising autoencoders;classification","Electroencephalography;Feature extraction;Behavioral sciences;Brain modeling;Variable speed drives;Pediatrics;Neuroimaging","Algorithms;Autism Spectrum Disorder;Child;Electroencephalography;Humans","101","","37","CCBY","19 Jul 2022","2022","","IEEE","IEEE Journals"
"Compound Emotion Recognition of Autistic Children During Meltdown Crisis Based on Deep Spatio-Temporal Analysis of Facial Geometric Features","S. K. Jarraya; M. Masmoudi; M. Hammami","CS Department, Faculty of Computing and Information Technology, King Abdulaziz University, Jeddah, Saudi Arabia; Mir@cl Laboratory, University of Sfax, Sfax, Tunisia; Mir@cl Laboratory, University of Sfax, Sfax, Tunisia",IEEE Access,"22 Apr 2020","2020","8","","69311","69326","An important contribution to computer vision applications has been made by recognizing human emotion. Although it is very significant, this work considers the security of autistic people while in meltdown crisis by introducing a new system to warn caregivers through facial expressions detection. A precautionary approach has been taken to deal with meltdown crisis. Certainly, the indications of Meltdown are linked to abnormal facial expressions related to compound emotions. Actually, researchers thought long ago that Human Facial Expressions (HFE) are not able to express more than the seven basics emotions. HFE have been considered by psychologists as very complicated one, which can indicate two or even more emotions known as compound or mixed ones. A few studies have been done concerning Compound Emotion (CE). As well as, many difficult tasks to detect Compound Emotion Recognition (CER). In this paper, we empirically assess a group of deep spatio-temporal geometric features of micro-expressions of autistic children during a meltdown crisis. To achieve this goal, we make a comparison of the CER performance and diverse collections of micro-expressions features to select the features which best differentiates autistic children CE in meltdown crisis from normal state, and the best classifier performance. We record autistic children videos in normal and meltdown crisis using Kinect camera in serious circumstances. The experimental evaluation shows that the deep spatio-temporal geometric features and Recurrent Neural Network RNN with 3 hidden layer using Information Gain Feature Selection methods provide best performance (85.8%).","2169-3536","","10.1109/ACCESS.2020.2986654","Deanship of Scientific Research (DSR), King Abdulaziz University, Jeddah(grant numbers:DF-350-165-1441); DSR technical and financial support; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9060825","Autism;deep spatio-temporal features;meltdown crisis;facial expressions;compound emotions","Compounds;Emotion recognition;Autism;Cameras;Feature extraction;Face;Computer vision","","40","","42","CCBY","8 Apr 2020","2020","","IEEE","IEEE Journals"
"Game-Based Social Interaction Platform for Cognitive Assessment of Autism Using Eye Tracking","Y. -L. Chien; C. -H. Lee; Y. -N. Chiu; W. -C. Tsai; Y. -C. Min; Y. -M. Lin; J. -S. Wong; Y. -L. Tseng","Department of Psychiatry, National Taiwan University Hospital, Taipei, Taiwan; Department of Electrical Engineering, Fu Jen Catholic University, New Taipei City, Taiwan; Department of Psychiatry, National Taiwan University Hospital, Taipei, Taiwan; Department of Psychiatry, National Taiwan University Hospital, Taipei, Taiwan; Department of Electrical Engineering, Fu Jen Catholic University, New Taipei City, Taiwan; Department of Electrical Engineering, Fu Jen Catholic University, New Taipei City, Taiwan; Department of Electrical Engineering, Fu Jen Catholic University, New Taipei City, Taiwan; Department of Electrical Engineering, National Sun Yat-sen University, Kaohsiung, Taiwan",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"2 Feb 2023","2023","31","","749","758","The design goals of recently developed serious games are to improve attention, affective recognition, and social interactions among individuals with autism. However, most previous studies on serious games used behavioral questionnaires to evaluate their effectiveness. The cognitive assessment of individuals with autism after behavioral intervention or drug treatment has become important because it provides promising biomarkers to assess improvement after cognitive intervention. In this study, we developed a game-based social interaction platform incorporating an eye-tracking system for children and preadolescents with autism. Three modules (focusing on gaze following, facial emotion recognition, and social interaction skills) are included in the platform; participants with autism learn these according to their cognitive abilities. The eye-tracking results showed decreased fixation durations when autistic children looked at positive emotional expressions and focused on multiple targets. Prolonged saccade durations and shorter fixation times for social-related facial emotion expressions were also found in preadolescents and teenagers with autism. Our findings suggest that these atypical gaze patterns are reliable biomarkers for evaluating the social and cognitive functions of autistic individuals while playing serious games. The proposed platform’s game-based modules and the findings regarding aberrant gaze patterns in autistic individuals demonstrate the possibility of evaluating cognitive functions and intervention effectiveness by using eye-tracking signals in a serious game or real-life environment.","1558-0210","","10.1109/TNSRE.2022.3232369","Taiwan National Science and Technology Council(grant numbers:107-2221-E-110-081-MY3,110-2222-E-110-007-MY2); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10000269","Social interaction game;autism spectrum disorder;eye tracking;serious games","Games;Emotion recognition;Gaze tracking;Autism;Pediatrics;Face recognition;Biomarkers","","27","","56","CCBY","28 Dec 2022","2023","","IEEE","IEEE Journals"
"Robot-Based Intervention for Children With Autism Spectrum Disorder: A Systematic Literature Review","K. D. Bartl-Pokorny; M. Pykała; P. Uluer; D. E. Barkana; A. Baird; H. Kose; T. Zorcec; B. Robins; B. W. Schuller; A. Landowska","EIHW–Chair of Embedded Intelligence for Health Care and Wellbeing, University of Augsburg, Augsburg, Germany; Department of Software Engineering, Faculty of Electronics, Telecommunications and Informatics, Gdansk University of Technology, Gdansk, Poland; Faculty of Engineering and Technology, Galatasaray University, Istanbul, Turkey; Department of Electrical and Electronics Engineering, Faculty of Engineering, Yeditepe University, Istanbul, Turkey; EIHW–Chair of Embedded Intelligence for Health Care and Wellbeing, University of Augsburg, Augsburg, Germany; Faculty of Computer and Informatics, Istanbul Technical University, Istanbul, Turkey; University Children’s Hospital, Skopje, North Macedonia; School of Computer Science, University of Hertfordshire, Hatfield, U.K.; EIHW–Chair of Embedded Intelligence for Health Care and Wellbeing, University of Augsburg, Augsburg, Germany; Department of Software Engineering, Faculty of Electronics, Telecommunications and Informatics, Gdansk University of Technology, Gdansk, Poland",IEEE Access,"21 Dec 2021","2021","9","","165433","165450","Children with autism spectrum disorder (ASD) have deficits in the socio-communicative domain and frequently face severe difficulties in the recognition and expression of emotions. Existing literature suggested that children with ASD benefit from robot-based interventions. However, studies varied considerably in participant characteristics, applied robots, and trained skills. Here, we reviewed robot-based interventions targeting emotion-related skills for children with ASD following the guidelines of the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) statement. We systematically searched for all relevant articles published in English language until May 2021, using the databases Scopus, Web of Science, and PubMed. From a total of 609 identified papers, 60 publications including 50 original articles and 10 non-empirical articles including review articles and theoretical articles were eligible for the synthesis. A total of 892 participants were included in the robot-based intervention studies; 570 of them were children with ASD. Nao and ZECA were the most frequently used robots; recognition of basic emotions and getting into interaction were the most frequently trained skills, while happiness, sadness, fear, and anger were the most frequently trained emotions. The studies reported a wide range of challenges with respect to robot-based intervention, ranging from limitations for certain ASD subgroups and security aspects of the robots to efforts regarding the automatic recognition of the children’s emotional state by the robotic systems. Finally, we summarised and discussed recommendations regarding the application of robot-based interventions for children with ASD.","2169-3536","","10.1109/ACCESS.2021.3132785","European Commission’s Erasmus+ Project (EMBOA, Affective loop in socially assistive robotics as an intervention tool for children with autism)(grant numbers:2019-1-PL01-KA203-065096); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9635826","Autism spectrum disorder;child-robot interaction;emotion expression;emotion recognition;intervention;socio-communicative abilities","Robots;Systematics;Autism;Bibliographies;Emotion recognition;Tagging;Search engines","","56","","66","CCBY","3 Dec 2021","2021","","IEEE","IEEE Journals"
"Enhancing Communication for People with Autism Through the Design of a Context-Aware Mobile Application for PECS","F. E. Z. El Arbaoui; K. El Hari; R. Saidi","SI2M Laboratory, National Institute of Statistics and Applied Economics (INSEA), Rabat, Morocco; SI2M Laboratory, National Institute of Statistics and Applied Economics (INSEA), Rabat, Morocco; SI2M Laboratory, National Institute of Statistics and Applied Economics (INSEA), Rabat, Morocco",Journal of ICT Standardization,"28 Nov 2024","2024","12","3","243","270","Autism is a neurodevelopmental condition characterized by difficulties with social skills and communication. Autistic individuals require different types of assistance to cope with these challenges. The Picture Exchange Communication System (PECS) is a commonly used program for teaching nonverbal and symbolic communication skills, particularly for children with limited or no communication abilities. However, despite the development of various technology-based PECS systems, there is a lack of features that can simplify their use by children with autism. In our work, we are developing a design of a personalized and context-aware PECS system. Our system not only presents pictures as content but also adapts and enhances the content using contextual information.","2246-0853","","10.13052/jicts2245-800X.1231","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10770619","Autism;IoT;PECS;context aware system;mobile application;sensing technology;autism spectrum disorder","Autism;Communication systems;Education;Standardization;Mobile applications;Information and communication technology","","","","42","","28 Nov 2024","September 2024","","River Publishers","River Publishers Journals"
"Exploring Sparse Gaussian Processes for Bayesian Optimization in Convolutional Neural Networks for Autism Classification","S. Cheekaty; G. Muneeswari","School of Computer Science and Engineering, VIT-AP University, Amaravati, Andhra Pradesh, India; School of Computer Science and Engineering, VIT-AP University, Amaravati, Andhra Pradesh, India",IEEE Access,"22 Jan 2024","2024","12","","10631","10651","Autism Spectrum Disorder (ASD) constitutes a prevalent childhood condition, impacting approximately 0.62% of the global population. Children grappling with ASD encounter challenges in acquiring language proficiency, comprehending spoken communication, and interpreting nonverbal cues, including eye contact, facial expressions, and hand gestures. This discourse delves into the application of eye tracking as a foundational instrument in ASD screening, leveraging the distinctive attributes of gaze behavior. Within the realm of Artificial Intelligence, Deep Learning manifests substantial promise, exhibiting considerable strides across diverse domains and emerging as an indispensable technological paradigm. This treatise introduces an innovative Convolutional Neural Network (CNN) model predicated on Bayesian optimization for the discernment of eye tracking images. The model comprises two primary components: the initial segment employs CNN to extract and amalgamate salient features, while the subsequent section incorporates a Bayesian optimizer tasked with fine-tuning the CNN’s hyperparameters contingent on an objective function. In the preliminary analysis, three distinct scenarios devoid of specific elements are juxtaposed with Bayesian optimization. During the examination, these circumstances are assessed through convergence charts and metrics of accuracy. The algorithm proposed manifests an elevated performance, demonstrating a conspicuous accuracy threshold of % during the evaluative phase of the model. This outcome constitutes a commendable advancement in research, accentuating the efficacy and resilience of the developed approach. The article undertakes a comparative analysis of research methodologies and thematic analysis approaches, furnishing valuable insights for qualitative researchers and offering methodologically robust pathways to address research inquiries. In practical applications, the model attests to heightened reliability and precision, thereby underscored as efficacious in real-world scenarios.","2169-3536","","10.1109/ACCESS.2024.3351168","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10384338","Autism spectrum disorders;Bayesian optimization;convolutional neural network;eye tracking;image classification","Autism;Gaze tracking;Bayes methods;Optimization;Metadata;Task analysis;Genetics;Convolutional neural networks;Image classification","","8","","42","CCBYNCND","8 Jan 2024","2024","","IEEE","IEEE Journals"
"Personalized Training via Serious Game to Improve Daily Living Skills in Pediatric Patients With Autism Spectrum Disorder","E. Vallefuoco; C. Bravaccio; G. Gison; L. Pecchia; A. Pepino","SInAPSi Centre, University of Naples Federico II, Naples, Italy; Department of Translational Medical Sciences, University of Naples Federico II, Naples, Italy; Department of Mental, Physical Health and Preventive Medicine, University of Campania Luigi Vanvitelli, Naples, Italy; School of Engineering, University of Warwick, Coventry, U.K.; Department of Electrical Engineering and Information Technology, University of Naples Federico II, Naples, Italy",IEEE Journal of Biomedical and Health Informatics,"1 Jul 2022","2022","26","7","3312","3322","The majority of people with Autism Spectrum Disorder (ASD) exhibit difficulties in social communication and behavior, which hinder their learning capability, amid others. Among technological solutions for people with ASD, serious games are frequently used to enhance learning of specific skills and instructional contents. However, because of heterogeneity in applications and game design, few studies have investigated their use in training daily activities. This paper presents a 3D personalized serious game we developed and validated to help ASD patients practice with shopping activities. Personalized training is paramount in people with ASD, thus several elements of this game were personalized to improve engagement and therefore the effectiveness of the virtual training. In order to assess the validity of the game, ten subjects (age $\text{11.9} \pm \text{2.7}$, 20% female) with ASD played ten sessions of the serious game, once per week. The participants underwent a real-life experience pre- and post-training in a real-life supermarket. Changes in daily living skills among participants were evaluated through specific tools: a form based on the International Classification of Functioning, Disability and Health for Children and Youth; and the Vineland Adaptive Behavior Scale II. Significant improvements (p$< $0.05) were detected in the main skills trained with the serious game, especially in learning the shopping procedure, directing attention, and problem-solving skills. These findings suggest that personalized serious games can represent a prominent tool to enhance daily living skills, but future work should clinically validate their efficacy.","2168-2208","","10.1109/JBHI.2022.3155367","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9723562","Serious games;Autism spectrum disorder;daily living skills;human-computer interactions","Games;Training;Variable speed drives;Bioinformatics;Pediatrics;Task analysis;Medical diagnostic imaging","Adolescent;Attention;Autism Spectrum Disorder;Child;Communication;Female;Humans;Male","41","","43","CCBY","1 Mar 2022","July 2022","","IEEE","IEEE Journals"
"AI4ASC: A Hierarchical Multi-Level AI-Driven Framework for Gesture Analysis and Monitoring in ASC Children","G. Cicceri; R. Maisano; G. Domenico Tripodi; G. Tartarisco; S. Vitabile; G. Pioggia; L. Ruta; S. Distefano","Department of Biomedicine, Neuroscience and Advanced Diagnostics (BiND), University of Palermo, Palermo, Italy; CIAM-Segreteria Tecnica Sistemi e Servizi Informatici, University of Messina, Messina, Italy; Department of Mathematics, Computer Sciences, Physics and Earth Sciences, University of Messina, Messina, Italy; National Research Council of Italy, Institute for Biomedical Research and Innovation (CNR-IRIB), Messina, Italy; Department of Biomedicine, Neuroscience and Advanced Diagnostics (BiND), University of Palermo, Palermo, Italy; National Research Council of Italy, Institute for Biomedical Research and Innovation (CNR-IRIB), Messina, Italy; National Research Council of Italy, Institute for Biomedical Research and Innovation (CNR-IRIB), Messina, Italy; Department of Mathematics, Computer Sciences, Physics and Earth Sciences, University of Messina, Messina, Italy",IEEE Access,"6 Feb 2026","2026","14","","17885","17904","Autism is characterized by differences in communication and social interaction, where nonverbal behaviors such as gestures provide valuable indicators for understanding social communication development. Traditional gesture assessment methods heavily rely on manual video review, which is labor-intensive, error-prone, and lacks scalability. Artificial Intelligence (AI) is a powerful solution to enhance the accuracy of autism diagnosis and therapies by enabling continuous, objective analysis of children nonverbal behaviors, such as gestures, thereby improving the assessment of their social and communication skills. This work leverages computer vision for gesture recognition in autistic children diagnosis, proposing AI4ASC, a hierarchical, multi (four)-level AI framework for the automated analysis and monitoring of gestures in autistic children. It focuses on pointing gesture, one of the early indicators of social communication development, to identify behaviors in children that, according to clinical evidence, behave differently to neurotypical ones. Experimental results on real-world clinical videos show that AI4ASC achieves high performance across all system levels: child detection with 88.6% mAP, hand detection with 95.7% of precision, and pointing gesture classification with 97.4% of overall precision. The final clustering level consolidates detected gestures with precision and quantifies them for clinician-guided interpretation. A user-friendly graphical interface and a client–server architecture enable therapist interaction and validation, supporting the integration of AI4ASC into clinical workflows for behavioral assessment.","2169-3536","","10.1109/ACCESS.2026.3659276","Italian Complementary National Plan PNC-I.1 “Research initiatives for Innovative Technologies and Pathways in the Health and Welfare Sector” D.D. 931 of June 2022, “DARE-DigitAl lifelong pRevEntion” Initiative, through Project DELPHI(grant numbers:PNC0000002,CUP: B53C22006460001); European Union-Next Generation EU-PNRR-Missione 4, Componente 2, Investimento 1.1-Bando PRIN 2022 PNRR-Decreto Direttoriale n. 1409 del 14-09-2022-Progetto RESILIENT(grant numbers:CUP J53D23015040001,P2022S4TTP); European Union’s NextGenerationEU Initiative through Italian Ministry of University and Research as part of the Piano nazionale di ripresa e resilienza (PNRR)-M4C2-I1.3 Project PE00000019 “Health Extended ALliance for Innovative Therapies, Advanced Laboratory-Research, and Integrated Approaches of Precision Medicine (HEAL ITALIA)”, Codice Unico di Progetto(grant numbers:(CUP) B73C22001250006); DREAM Project [PRIN–Ministero dell’Università e della Ricerca (MUR)](grant numbers:DSB.AD008.649); READS Project [Ministero delle Imprese e del Made in Italy (MIMIT)](grant numbers:F/180026/01-04/X43); INTER PARES Project, EU POC METRO 2014/2020 (Azione l.3.1.—Codice Progetto ME I.3.1.b.); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11367655","Deep learning;autism spectrum condition;computer vision;gestures detection;pointing classification;clustering analysis","Autism;Accuracy;Medical treatment;Artificial intelligence;Videos;Monitoring;Pediatrics;Gesture recognition;Predictive models;Feature extraction","","","","33","CCBY","29 Jan 2026","2026","","IEEE","IEEE Journals"
